AVG,ROWNO,PREAVG_2,MM_0,PUM_NAME,PREAVG_1,MM_1,UNIT_NAME,MM_2,GRADE_NAME
"6,171",76,"5,607",202507,느타리버섯,"5,871",202506,   2키로상자,202505,상
"5,411",77,"5,421",202507,느타리버섯,"5,541",202506,   2키로상자,202505,중
"4,599",78,"4,968",202507,느타리버섯,"5,053",202506,   2키로상자,202505,하
"47,000",79,"47,000",202507,단감 부유,"47,000",202506,  10키로상자,202505,특
"45,500",80,"45,500",202507,단감 부유,"45,500",202506,  10키로상자,202505,상
"31,585",81,"31,585",202507,단감 부유,"31,585",202506,  10키로상자,202505,중
"11,750",82,"11,750",202507,단감 부유,"11,750",202506,  10키로상자,202505,하
"14,813",83,"16,735",202507,단호박,"17,543",202506,  10키로상자,202505,특
"13,248",84,"15,883",202507,단호박,"16,676",202506,  10키로상자,202505,상
"11,172",85,"14,948",202507,단호박,"15,311",202506,  10키로상자,202505,중
"8,865",86,"13,909",202507,단호박,"14,210",202506,  10키로상자,202505,하
"6,859",87,"8,182",202507,당근 수입,"7,771",202506,  10키로상자,202505,특
"6,796",88,"8,165",202507,당근 수입,"7,639",202506,  10키로상자,202505,상
"6,619",89,"6,598",202507,당근 수입,"6,236",202506,  10키로상자,202505,중
"6,460",90,"5,207",202507,당근 수입,"4,593",202506,  10키로상자,202505,하
"23,519",91,"26,315",202507,당근(일반),"23,854",202506,  20키로상자,202505,특
"22,652",92,"25,226",202507,당근(일반),"22,770",202506,  20키로상자,202505,상
"20,709",93,"22,851",202507,당근(일반),"20,084",202506,  20키로상자,202505,중
"15,398",94,"17,604",202507,당근(일반),"14,771",202506,  20키로상자,202505,하
"15,380",95,"13,672",202507,대추방울토마토,"14,225",202506,   3키로상자,202505,특
"13,398",96,"11,765",202507,대추방울토마토,"11,399",202506,   3키로상자,202505,상
"10,767",97,"10,766",202507,대추방울토마토,"9,637",202506,   3키로상자,202505,중
"7,930",98,"9,213",202507,대추방울토마토,"7,258",202506,   3키로상자,202505,하
"1,678",99,"1,174",202507,대파(일반),"1,297",202506,   1키로단,202505,특
"1,523",100,"1,093",202507,대파(일반),"1,200",202506,   1키로단,202505,상
"1,295",101,910,202507,대파(일반),"1,038",202506,   1키로단,202505,중
"1,061",102,676,202507,대파(일반),852,202506,   1키로단,202505,하
"16,800",103,"16,424",202507,두릅재배산,"16,800",202506,   2키로상자,202505,상
"16,320",104,"15,567",202507,두릅재배산,"16,320",202506,   2키로상자,202505,중
"11,000",105,"11,067",202507,두릅재배산,"11,000",202506,   2키로상자,202505,하
"12,000",106,"18,180",202507,딸기 설향,"12,463",202506,   2키로상자,202505,특
"11,190",107,"14,854",202507,딸기 설향,"11,537",202506,   2키로상자,202505,상
"9,059",108,"10,631",202507,딸기 설향,"9,399",202506,   2키로상자,202505,중
"8,360",109,"7,280",202507,딸기 설향,"8,423",202506,   2키로상자,202505,하
"14,700",110,"14,700",202507,딸기 육보,"14,700",202506,   1키로상자,202505,특
"16,750",111,"16,750",202507,딸기 육보,"16,750",202506,   1키로상자,202505,상
"14,131",112,"14,131",202507,딸기 육보,"14,131",202506,   1키로상자,202505,중
"8,606",113,"8,606",202507,딸기 육보,"8,606",202506,   1키로상자,202505,하
"18,000",114,"20,537",202507,딸기 육보,"18,000",202506,   2키로상자,202505,특
"23,000",115,"23,284",202507,딸기 육보,"23,000",202506,   2키로상자,202505,상
"15,969",116,"18,841",202507,딸기 육보,"15,969",202506,   2키로상자,202505,중
"11,800",117,"13,734",202507,딸기 육보,"11,800",202506,   2키로상자,202505,하
"12,500",118,"13,547",202507,딸기 장희,"12,500",202506,   2키로상자,202505,특
"11,250",119,"12,710",202507,딸기 장희,"11,250",202506,   2키로상자,202505,상
"9,277",120,"10,850",202507,딸기 장희,"9,277",202506,   2키로상자,202505,중
"7,781",121,"8,304",202507,딸기 장희,"7,781",202506,   2키로상자,202505,하
"5,500",122,"5,500",202507,레드 치커리,"5,500",202506,   2키로상자,202505,상
"5,500",123,"5,500",202507,레드 치커리,"5,500",202506,   2키로상자,202505,중
"4,500",124,"4,500",202507,레드 치커리,"4,500",202506,   2키로상자,202505,하
"10,500",125,"14,306",202507,마늘쫑,"10,995",202506,   2키로단,202505,상
"8,833",126,"13,445",202507,마늘쫑,"9,316",202506,   2키로단,202505,중
"7,516",127,"10,701",202507,마늘쫑,"8,012",202506,   2키로단,202505,하
"17,423",128,"18,000",202507,마늘쫑 수입,"17,000",202506,   8키로상자,202505,상
"17,423",129,"17,333",202507,마늘쫑 수입,"16,840",202506,   8키로상자,202505,중
"17,423",130,"16,000",202507,마늘쫑 수입,"16,520",202506,   8키로상자,202505,하
"12,000",131,"12,000",202507,만감 한라봉,"12,000",202506,   3키로상자,202505,특
"12,000",132,"12,000",202507,만감 한라봉,"12,000",202506,   3키로상자,202505,상
"11,333",133,"11,370",202507,만감 한라봉,"11,333",202506,   3키로상자,202505,중
"10,500",134,"10,535",202507,만감 한라봉,"10,500",202506,   3키로상자,202505,하
"26,000",135,"27,119",202507,망고(수입),"28,840",202506,   5키로상자,202505,특
"22,369",136,"25,304",202507,망고(수입),"27,288",202506,   5키로상자,202505,상
"10,688",137,"23,093",202507,망고(수입),"24,228",202506,   5키로상자,202505,중
"10,000",138,"21,160",202507,망고(수입),"22,072",202506,   5키로상자,202505,하
"7,784",139,"7,784",202507,머위잎,"7,784",202506,   4키로상자,202505,상
"29,338",140,"30,852",202507,멜론 머스크,"31,209",202506,   8키로상자,202505,특
"28,653",141,"28,803",202507,멜론 머스크,"30,363",202506,   8키로상자,202505,상
